//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Oct 16 07:58:53 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00     1246     8061        -        -       164230.848          312		1
  0  00      171     1220        -        -       165064.520          314		1
  0  00      172     1170        -        -       165686.136          315		1
  0  00      125      902        -        -       165856.712          316		1
  0  00      157     1058        -        -       166101.168          317		1
  0  00      173     1140        -        -       166340.112          318		1
  0  00      193     1408        -        -       167081.784          319		1
  0  00      208     1664        -        -       169283.528          320		1
  0  00      154     1078        -        -       170639.200          321		1
  0  00      151     1130        -        -       170698.512          322		1
  0  00      146     1139        -        -       170925.536          323		1
  0  00      163     1152        -        -       171265.744          324		1
  0  00      664     5183        -        -       171361.392          326		1
  0  00      178     1232        -        -       171664.432          327		1
  0  00      225     1579        -        -       171892.456          328		1
  0  00      136     1050        -        -       173022.544          329		1
  0  00      145     1034        -        -       173555.768          330		1
  0  00      147     1081        -        -       173659.936          331		1
  0  00      133     1061        -        -       173798.552          332		1
  0  00      137     1088        -        -       174133.328          333		1
  0  00      134     1010        -        -       174274.184          334		1
  0  00      154     1039        -        -       174345.192          335		1
  0  00      147     1055        -        -       174382.200          336		1
  0  00      363     2621        -        -       176120.696          337		1
  0  00      400     3313        -        -       177045.784          338		1
  0  00      346     2572        -        -       177065.864          339		1
  0  00      144     1051        -        -       177367.648          340		1
  0  00      168     1055        -        -       178979.544          341		1
  0  00      154     1071        -        -       179118.136          342		1
  0  00      170     1296        -        -       180055.864          343		1
  0  00      153     1018        -        -       180691.288          344		1
  0  00      348     2634        -        -       181538.600          345		1
  0  00      134     1074        -        -       181846.680          346		1
  0  00      158     1073        -        -       183044.592          347		1
  0  00      177      985        -        -       183465.224          348		1
  0  00      721     5673        -        -       183621.520          349		1
  0  00      156     1096        -        -       183932.328          350		1
  0  00      158     1063        -        -       184021.296          351		1
  0  00      150     1110        -        -       184290.528          352		1
  0  00      153     1074        -        -       184344.608          353		1
  0  00      174     1141        -        -       184404.120          354		1
  0  00      164     1077        -        -       185700.584          355		1
  0  00      152     1072        -        -       186528.504          356		1
  0  00      144     1048        -        -       186854.496          357		1
  0  00      148     1083        -        -       186989.896          358		1
  0  00      164     1068        -        -       187527.944          359		1
  0  00      160     1076        -        -       187657.272          360		1
  0  00      153     1037        -        -       188095.656          361		1
  0  00      157     1187        -        -       188717.240          362		1
  0  00      647     5033        -        -       188752.088          363		1
  0  00      140     1050        -        -       188999.432          364		1
  0  00      148     1051        -        -       189171.280          365		1
  0  00      131     1075        -        -       189672.168          366		1
  0  00      255     2047        -        -       189946.000          367		1
  0  00      162     1292        -        -       190208.208          368		1
  0  00      136     1087        -        -       190754.184          369		1
  0  00      174     1188        -        -       190907.040          370		1
  0  00      203     1595        -        -       193593.808          371		1
  0  00      141     1086        -        -       194724.504          372		1
  0  00      144     1044        -        -       195109.736          373		1
  0  00      157     1044        -        -       195523.216          374		1
  0  00      142     1104        -        -       196567.168          375		1
  0  00      150     1022        -        -       197811.192          376		1
  0  00      154     1299        -        -       198049.440          377		1
  0  00      151     1077        -        -       198469.960          378		1
  0  00      156     1074        -        -       199860.984          379		1
  0  00      158     1034        -        -       201127.808          380		1
  0  00      151     1333        -        -       202081.824          381		1
  0  00      143     1117        -        -       202168.640          382		1
  0  00      154     1049        -        -       202303.248          383		1
  0  00      141     1079        -        -       203600.384          384		1
  0  00      187     1337        -        -       203996.904          385		1
  0  00      171     1094        -        -       205800.288          386		1
  0  00      156     1150        -        -       205863.248          387		1
  0  00      164     1112        -        -       206806.560          388		1
  0  00      190     1263        -        -       207197.448          389		1
  0  00      171     1053        -        -       207666.640          390		1
  0  00      146     1020        -        -       207707.104          391		1
  0  00      173     1063        -        -       207917.632          392		1
  0  00      152     1079        -        -       208358.776          393		1
  0  00      134     1044        -        -       208712.560          394		1
  0  00      154     1105        -        -       209072.824          395		1
  0  00      137     1060        -        -       210127.272          396		1
  0  00      156     1070        -        -       210345.992          397		1
  0  00      144      991        -        -       210774.640          398		1
  0  00      143     1055        -        -       210865.000          399		1
  0  00      167     1084        -        -       210944.880          400		1
  0  00      174     1249        -        -       212026.280          402		1
  0  00      135     1108        -        -       212115.168          403		1
  0  00      151     1073        -        -       212188.984          404		1
  0  00      142     1026        -        -       212249.800          405		1
  0  00      160     1238        -        -       213552.432          406		1
  0  00      149     1027        -        -       214468.368          407		1
  0  00      159     1064        -        -       214672.824          408		1
  0  00      147     1115        -        -       214959.504          409		1
  0  00      145     1074        -        -       215690.480          410		1
  0  00      147     1090        -        -       217118.904          411		1
  0  00      177     1258        -        -       217658.632          412		1
  0  00      140     1010        -        -       217710.568          413		1
  0  00      145     1017        -        -       218603.128          414		1
  0  00      159     1029        -        -       218730.144          415		1
  0  00      173     1268        -        -       218919.784          416		1
  0  00      451     3431        -        -       219713.208          417		1
  0  00      133     1057        -        -       220195.248          418		1
  0  00      154     1043        -        -       220367.456          419		1
  0  00      156     1121        -        -       220808.008          420		1
  0  00      136     1148        -        -       221243.448          421		1
  0  00      193     1373        -        -       223482.000          422		1
  0  00      198     1574        -        -       224375.560          423		1
  0  00      142     1034        -        -       224769.488          425		1
  0  00      148     1097        -        -       225383.744          426		1
  0  00      148     1058        -        -       226904.880          427		1
  0  00      160     1088        -        -       227041.664          428		1
  0  00      168     1164        -        -       227132.736          429		1
  0  00      151     1077        -        -       227959.704          430		1
  0  00      158     1090        -        -       228268.920          431		1
  0  00      149     1079        -        -       228503.328          432		1
  0  00      144     1036        -        -       228596.120          433		1
  0  00      142     1140        -        -       228742.032          434		1
  0  00      217     1537        -        -       228957.024          435		1
  0  00      184     1275        -        -       229029.192          436		1
  0  00      194     1330        -        -       229045.808          438		1
  0  00      167     1120        -        -       230418.016          439		1
  0  00      151     1084        -        -       230597.680          440		1
  0  00      153     1020        -        -       231161.832          441		1
  0  00      150     1125        -        -       232068.632          442		1
  0  00      174     1127        -        -       232276.368          443		1
  0  00      158     1085        -        -       233938.584          444		1
  0  00      151     1051        -        -       234113.616          445		1
  0  00      156     1071        -        -       235426.800          446		1
  0  00      146     1021        -        -       236019.392          447		1
  0  00      170     1107        -        -       236140.440          448		1
  0  00      181     1514        -        -       236384.840          449		1
  0  00      164     1078        -        -       236927.248          451		1
  0  00      154     1148        -        -       237251.680          452		1
  0  00      163     1039    883.5     31.0       237588.816          453		1
  0  00      155     1052        -        -       238071.744          455		1
  0  00      157     1228        -        -       238318.320          456		1
  0  00      141     1058        -        -       238374.968          457		1
  0  00      516     4143        -        -       238621.888          458		1
  0  00      150     1087        -        -       239453.496          459		1
  0  00      144     1067        -        -       240553.872          460		1
  0  00      137     1097        -        -       242377.272          461		1
  0  00      144     1076        -        -       242557.480          462		1
  0  00      145     1084        -        -       242594.472          463		1
  0  00      486     3752        -        -       244345.592          464		1
  0  00      131     1009        -        -       244543.024          465		1
  0  00      293     2109        -        -       244778.352          466		1
  0  00      156     1094        -        -       246070.888          467		1
  0  00      160     1092        -        -       246499.808          468		1
  0  00      150     1077    706.0     19.0       246798.544          469		1
  0  00      359     2815        -        -       247964.760          471		1
  0  00      149     1046        -        -       248400.296          472		1
  0  00      164     1064        -        -       249113.712          473		1
  0  00      182     1319        -        -       249313.600          474		1
  0  00      158     1131        -        -       249518.784          475		1
  0  00      151     1023        -        -       250444.440          476		1
  0  00      147     1067        -        -       251118.160          477		1
  0  00      160     1218        -        -       252260.344          478		1
  0  00      140     1045        -        -       252536.168          479		1
  0  00      168     1078        -        -       253423.024          480		1
  0  00      139     1054        -        -       255042.304          481		1
  0  00      151     1002        -        -       255058.384          482		1
  0  00      171     1096        -        -       255534.088          483		1
  0  00      139     1117        -        -       255653.992          484		1
  0  00      338     2638        -        -       256799.688          485		1
  0  00      183     1321        -        -       257041.144          486		1
  0  00      158     1095        -        -       257816.064          487		1
  0  00      142     1048        -        -       259711.904          488		1
  0  00      133     1083        -        -       260220.312          489		1
  0  00      167     1097        -        -       260356.424          490		1
  0  00      160     1076        -        -       261871.728          491		1
  0  00      115     1107        -        -       262984.152          492		1
  0  00      156     1119        -        -       263043.552          493		1
  0  00      157     1099        -        -       263281.784          494		1
  0  00      162     1041        -        -       263996.456          495		1
  0  00      146     1068        -        -       265391.160          496		1
  0  00      151     1001        -        -       265688.264          497		1
  0  00      157     1045        -        -       266091.600          498		1
  0  00      138     1101        -        -       266217.016          499		1
  0  00      145     1109        -        -       266357.440          500		1
  0  00      169     1129        -        -       267278.424          501		1
  0  00      139     1050        -        -       268417.576          502		1
  0  00      164     1101        -        -       268539.080          503		1
  0  00      307     2240        -        -       268873.952          504		1
  0  00      154     1063        -        -       269169.080          505		1
  0  00      159     1078        -        -       269460.808          506		1
  0  00      170     1158        -        -       269868.848          507		1
  0  00      156     1041        -        -       271669.800          508		1
  0  00      149     1078        -        -       272121.064          509		1
  0  00      158      970        -        -       272473.752          510		1
  0  00      113      926        -        -       274691.152          511		1
  0  00      156     1069        -        -       275567.712          512		1
  0  00      161     1049        -        -       276047.248          513		1
  0  00      130     1084        -        -       276415.504          514		1
  0  00      677     5358        -        -       276846.568          515		1
  0  00      163     1089        -        -       277047.232          516		1
  0  00      168     1029        -        -       277129.376          517		1
  0  00      132     1069        -        -       278389.208          518		1
  0  00      343     2726        -        -       279287.528          519		1
  0  00      160     1020        -        -       279464.736          520		1
  0  00      136     1092        -        -       279875.128          521		1
  0  00      157     1081        -        -       280058.032          522		1
  0  00      168     1256        -        -       280468.856          523		1
  0  00      301     2506        -        -       280855.808          524		1
  0  00      153     1066        -        -       281600.048          525		1
  0  00      143     1062        -        -       282044.656          526		1
  0  00      185     1270        -        -       282464.096          527		1
  0  00      149     1061        -        -       283379.152          528		1
  0  00      153     1044        -        -       284960.736          529		1
  0  00      148     1037        -        -       286033.344          530		1
  0  00      150     1109        -        -       287173.360          531		1
  0  00      159     1169        -        -       288741.400          532		1
  0  00      150     1153        -        -       289832.856          533		1
  0  00      153     1047        -        -       289972.904          534		1
  0  00      160     1096        -        -       291945.712          535		1
  0  00      153     1029   1116.0     21.0       292212.784          536		1
  0  00      168     1148        -        -       292427.824          538		1
  0  00      142     1037        -        -       292766.176          539		1
  0  00      158     1115        -        -       293227.264          540		1
  0  00      150     1023        -        -       293282.584          541		1
  0  00      164     1094        -        -       293319.824          542		1
  0  00      142     1078        -        -       294896.304          543		1
  0  00      161     1274        -        -       295171.256          544		1
  0  00      238     1743        -        -       295320.472          545		1
  0  00      146      998        -        -       295622.368          546		1
  0  00      221     1603        -        -       296881.392          547		1
  0  00      139     1087        -        -       297028.200          548		1
  0  00      234     1725        -        -       300011.352          549		1
  0  00      147     1109        -        -       300249.968          550		1
  0  00      150     1223        -        -       300327.352          551		1
  0  00      136     1058        -        -       300450.944          552		1
  0  00      231     1609        -        -       301584.336          553		1
  0  00      155     1166        -        -       302457.312          554		1
  0  00      349     2639        -        -       302966.872          555		1
  0  00      158     1102        -        -       303636.832          556		1
  0  00      147      973        -        -       303678.136          557		1
  0  00      138     1069        -        -       303761.736          558		1
  0  00      157     1014        -        -       304452.512          559		1
  0  00      504     4186        -        -       304466.344          560		1
  0  00      172     1328        -        -       305697.184          561		1
  0  00      220     1590        -        -       307428.960          562		1
  0  00      169     1054        -        -       308159.640          563		1
  0  00      156     1086        -        -       308769.600          564		1
  0  00      157     1079        -        -       311734.488          565		1
  0  00      129     1037        -        -       311796.704          566		1
  0  00      159     1401        -        -       311956.000          567		1
  0  00      135     1038        -        -       311972.280          570		1
  0  00      147     1052        -        -       312023.760          571		1
  0  00      157     1083        -        -       313321.952          572		1
  0  00      154     1053        -        -       313693.624          573		1
  0  00      143     1012        -        -       314300.928          574		1
  0  00      150     1073        -        -       314330.872          575		1
  0  00      151     1082        -        -       314579.032          576		1
  0  00      165     1085        -        -       314736.616          577		1
  0  00      155     1111        -        -       315306.016          579		1
  0  00      212     1540        -        -       316052.632          580		1
