//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 15:03:20 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      177     1473        -        -      3253982.536          458		1
  0  00      371     2863        -        -      3257112.184          459		1
  0  00      468     3718        -        -      3267720.512          460		1
  0  00      749     6159        -        -      3272924.264          461		1
  0  00      758     5984        -        -      3280776.336          462		1
  0  00      414     3406        -        -      3281586.424          463		1
  0  00      537     4337        -        -      3289318.784          464		1
  0  00      339     2652        -        -      3293178.216          465		1
  0  00      314     2491        -        -      3296629.656          466		1
  0  00      327     2657        -        -      3301936.640          467		1
  0  00      236     1982        -        -      3307565.384          468		1
  0  00      180     1452        -        -      3308289.800          469		1
  0  00      276     1917        -        -      3329597.128          470		1
  0  00      343     2642        -        -      3329640.280          471		1
  0  00      192     1412        -        -      3335486.328          472		1
  0  00      182     1504        -        -      3339570.928          473		1
  0  00      297     2312        -        -      3341136.744          474		1
  0  00      313     2354        -        -      3347224.864          475		1
  0  00      169     1452        -        -      3347549.232          476		1
  0  00      341     2849        -        -      3349056.488          477		1
  0  00      390     3029        -        -      3355222.488          478		1
  0  00      735     5810        -        -      3356072.872          479		1
  0  00      366     2873        -        -      3358480.896          480		1
  0  00      199     1681        -        -      3359827.672          481		1
  0  00      371     2875        -        -      3363088.768          482		1
  0  00      241     1968        -        -      3367839.944          483		1
  0  00      248     1878        -        -      3373706.440          484		1
  0  00      212     1705        -        -      3376063.608          485		1
  0  00      189     1446        -        -      3376893.136          486		1
  0  00      752     5883        -        -      3377367.496          487		1
  0  00      362     2883        -        -      3382012.856          488		1
  0  00      183     1459        -        -      3383870.424          489		1
  0  00      659     5227        -        -      3391001.400          490		1
  0  00      439     3318        -        -      3394151.504          491		1
  0  00      306     2381        -        -      3396338.664          492		1
  0  00      185     1489        -        -      3397656.464          493		1
  0  00      869     7141        -        -      3399518.896          494		1
  0  00      631     4990        -        -      3401004.664          495		1
  0  00      193     1523        -        -      3409457.480          496		1
  0  00      408     3132        -        -      3410695.192          497		1
  0  00      302     2360        -        -      3411875.752          498		1
  0  00      404     3342        -        -      3411923.536          499		1
  0  00      384     2930        -        -      3412786.624          500		1
  0  00      182     1398        -        -      3421484.040          501		1
  0  00      279     2245        -        -      3435346.928          502		1
  0  00      195     1441        -        -      3440031.120          503		1
  0  00      303     2625        -        -      3459207.184          504		1
  0  00      371     3204        -        -      3466918.304          505		1
  0  00      507     4099        -        -      3469967.680          507		1
  0  00      176     1496        -        -      3478707.176          508		1
  0  00      302     2394        -        -      3479512.456          509		1
  0  00      592     4675        -        -      3480950.640          510		1
  0  00      285     2329        -        -      3491678.568          511		1
  0  00      274     2104        -        -      3530413.256          512		1
  0  00      554     4412        -        -      3533898.808          513		1
  0  00      194     1436        -        -      3535443.784          514		1
  0  00      247     2021        -        -      3543521.864          515		1
  0  00      471     3902        -        -      3550173.944          516		1
  0  00      178     1485        -        -      3562691.800          517		1
  0  00      342     2726        -        -      3565493.840          518		1
  0  00      370     2951        -        -      3577750.368          519		1
  0  00      191     1400        -        -      3579922.848          520		1
  0  00      735     5900        -        -      3581681.328          521		1
  0  00      208     1593        -        -      3584099.672          522		1
  0  00      423     3364        -        -      3590775.720          523		1
  0  00      250     1957        -        -      3595216.928          524		1
  0  00      260     1931        -        -      3603219.248          525		1
  0  00      360     2874        -        -      3615502.736          526		1
  0  00      249     1913        -        -      3617603.192          527		1
  0  00      471     3862        -        -      3617648.928          528		1
  0  00      183     1504        -        -      3619540.208          529		1
  0  00      263     2055        -        -      3624185.872          530		1
  0  00      204     1729        -        -      3630208.920          531		1
  0  00      385     3037        -        -      3635895.688          532		1
  0  00      296     2425        -        -      3643092.776          533		1
  0  00      313     2424        -        -      3643980.288          534		1
  0  00      430     3367        -        -      3665061.104          535		1
  0  00      187     1372        -        -      3677913.624          536		1
  0  00      236     1889        -        -      3685974.112          537		1
  0  00      181     1462        -        -      3686892.536          538		1
  0  00      871     7042        -        -      3699149.992          539		1
  0  00      300     2401        -        -      3704149.392          540		1
  0  00      266     2058        -        -      3705196.704          541		1
  0  00      323     2403        -        -      3705847.224          542		1
  0  00      201     1471        -        -      3706319.568          543		1
  0  00      178     1456        -        -      3707247.640          544		1
  0  00      199     1423        -        -      3708075.072          545		1
  0  00      197     1483        -        -      3715956.408          546		1
  0  00      300     2437        -        -      3734469.768          547		1
  0  00      304     2406        -        -      3740299.088          548		1
  0  00      215     1664        -        -      3753110.472          549		1
  0  00      640     5213        -        -      3763605.568          550		1
  0  00      251     2079        -        -      3770539.544          551		1
  0  00      195     1575        -        -      3775156.528          552		1
  0  00      260     2046        -        -      3783730.744          553		1
  0  00      329     2543        -        -      3791031.368          554		1
  0  00      234     1893        -        -      3792636.376          555		1
  0  00     1069     8061        -        -      3795450.080          556		1
  0  00      167     1459        -        -      3801022.344          557		1
  0  00      170     1386        -        -      3818383.944          558		1
  0  00      381     2917        -        -      3819431.208          559		1
  0  00      336     2927        -        -      3821122.384          560		1
